epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
173,12144.5,0.39371,0.18625,0.92412,0.92502,0.78922,0.8523,0.74846,0.52098,0.25205,1.01528,0.001486,0.001486,0.001486
174,12215.5,0.38914,0.18636,0.9196,0.91942,0.79038,0.85715,0.75393,0.5192,0.25284,1.0124,0.0014365,0.0014365,0.0014365
175,12286.6,0.39006,0.18652,0.92408,0.90758,0.79041,0.85534,0.75201,0.51678,0.25474,1.00973,0.001387,0.001387,0.001387
176,12357.4,0.39121,0.18551,0.92101,0.94747,0.81036,0.85132,0.75097,0.51741,0.2539,1.00819,0.0013375,0.0013375,0.0013375
177,12428.4,0.38622,0.18387,0.91973,0.90714,0.80081,0.84843,0.75101,0.52361,0.25324,1.01161,0.001288,0.001288,0.001288
178,12499.4,0.38307,0.18102,0.91915,0.73947,0.86145,0.85521,0.75287,0.51873,0.25203,1.00951,0.0012385,0.0012385,0.0012385
179,12570.2,0.38113,0.18293,0.91936,0.76116,0.86157,0.86039,0.75667,0.51975,0.25526,1.01214,0.001189,0.001189,0.001189
180,12640.9,0.38632,0.18208,0.91965,0.86357,0.76776,0.85369,0.7534,0.52059,0.25608,1.0123,0.0011395,0.0011395,0.0011395
181,12711.6,0.3791,0.18214,0.91998,0.73738,0.86075,0.85708,0.75362,0.52383,0.25782,1.01665,0.00109,0.00109,0.00109
182,12782.5,0.38125,0.18137,0.91519,0.91192,0.76528,0.85145,0.75137,0.51549,0.25551,1.01041,0.0010405,0.0010405,0.0010405
183,12853.4,0.37894,0.18064,0.91761,0.75858,0.86086,0.85491,0.75586,0.51319,0.25576,1.01014,0.000991,0.000991,0.000991
184,12924.4,0.3726,0.17847,0.91077,0.75874,0.8611,0.85467,0.75559,0.51305,0.25414,1.00871,0.0009415,0.0009415,0.0009415
185,12995.4,0.37366,0.17806,0.9116,0.91314,0.78679,0.85683,0.75935,0.51443,0.25387,1.01136,0.000892,0.000892,0.000892
186,13066.5,0.36744,0.17547,0.91051,0.9639,0.80225,0.8667,0.7596,0.51269,0.25558,1.01145,0.0008425,0.0008425,0.0008425
187,13137.6,0.36905,0.1744,0.90926,0.968,0.80333,0.8641,0.76146,0.51109,0.25559,1.01104,0.000793,0.000793,0.000793
188,13208.7,0.36991,0.176,0.91125,0.97108,0.80573,0.86991,0.76405,0.50944,0.25548,1.01107,0.0007435,0.0007435,0.0007435
189,13279.7,0.37152,0.17605,0.9116,0.97086,0.80553,0.87046,0.76229,0.50816,0.25461,1.00916,0.000694,0.000694,0.000694
190,13350.5,0.36959,0.17358,0.90624,0.96892,0.80419,0.87038,0.76579,0.51087,0.25734,1.01043,0.0006445,0.0006445,0.0006445
191,13422.6,0.36311,0.17131,0.90718,0.96795,0.80162,0.87495,0.76609,0.51027,0.25644,1.00962,0.000595,0.000595,0.000595
192,13493.7,0.3639,0.17215,0.90403,0.967,0.79929,0.86988,0.76763,0.51062,0.25528,1.01019,0.0005455,0.0005455,0.0005455
193,13564.6,0.35685,0.16932,0.90163,0.96769,0.79919,0.87698,0.7766,0.50958,0.25476,1.01034,0.000496,0.000496,0.000496
194,13635.6,0.36019,0.17049,0.90679,0.96718,0.8017,0.87674,0.76721,0.50795,0.25509,1.00972,0.0004465,0.0004465,0.0004465
195,13706.5,0.35675,0.16888,0.90652,0.9681,0.8035,0.87523,0.76966,0.50822,0.25484,1.01049,0.000397,0.000397,0.000397
196,13777.3,0.35585,0.16734,0.90459,0.96701,0.8026,0.8766,0.76659,0.50761,0.25439,1.01072,0.0003475,0.0003475,0.0003475
197,13848.4,0.35052,0.16678,0.89897,0.96709,0.80184,0.87327,0.77058,0.50772,0.25343,1.01116,0.000298,0.000298,0.000298
198,13919.4,0.35305,0.16695,0.90893,0.96974,0.8005,0.86921,0.76931,0.50858,0.2541,1.0117,0.0002485,0.0002485,0.0002485
199,13990.2,0.35502,0.16764,0.89696,0.97001,0.8006,0.85572,0.76254,0.50842,0.25462,1.01105,0.000199,0.000199,0.000199
200,14060.9,0.34925,0.16509,0.89569,0.97,0.8009,0.86657,0.76513,0.5068,0.2547,1.01048,0.0001495,0.0001495,0.0001495
