epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2952.05,0.68265,0.34991,1.13521,0.97984,0.69359,0.74595,0.58902,0.94528,0.38524,1.24745,0.007921,0.007921,0.007921
44,3019.85,0.68518,0.34185,1.13232,0.83399,0.72566,0.75002,0.61448,0.75578,0.36525,1.14284,0.0078715,0.0078715,0.0078715
45,3088.24,0.67905,0.34619,1.13013,0.8336,0.72537,0.74164,0.62228,0.74052,0.3741,1.12682,0.007822,0.007822,0.007822
46,3157.19,0.67372,0.34366,1.12849,0.97765,0.69466,0.75306,0.61767,0.75848,0.36098,1.15211,0.0077725,0.0077725,0.0077725
47,3225.45,0.6591,0.33327,1.10967,0.9269,0.73549,0.76153,0.63573,0.69918,0.36135,1.11526,0.007723,0.007723,0.007723
48,3293.89,0.66304,0.33605,1.11916,0.97593,0.6922,0.74215,0.5958,0.90873,0.38192,1.21273,0.0076735,0.0076735,0.0076735
49,3362.55,0.66251,0.33733,1.11944,0.97306,0.69459,0.74981,0.60779,0.8263,0.37716,1.19703,0.007624,0.007624,0.007624
50,3430.79,0.65517,0.33639,1.10777,0.86112,0.72504,0.76357,0.61095,0.79222,0.36949,1.15354,0.0075745,0.0075745,0.0075745
51,3498.31,0.65159,0.32918,1.11589,0.66348,0.7288,0.74492,0.61721,0.7563,0.35834,1.12127,0.007525,0.007525,0.007525
52,3569.28,0.652,0.32877,1.11222,0.97674,0.69597,0.71401,0.61029,0.71348,0.35916,1.13399,0.0074755,0.0074755,0.0074755
53,3640.32,0.64331,0.33161,1.10547,0.80251,0.73084,0.75477,0.64825,0.68807,0.33842,1.10014,0.007426,0.007426,0.007426
54,3711.38,0.63115,0.32298,1.10599,0.98146,0.69007,0.713,0.606,0.74635,0.36376,1.12243,0.0073765,0.0073765,0.0073765
55,3781.92,0.64582,0.32644,1.10639,0.86405,0.72958,0.77562,0.64167,0.74442,0.33833,1.11082,0.007327,0.007327,0.007327
56,3852.45,0.63181,0.32189,1.09917,0.80361,0.774,0.77129,0.63483,0.79136,0.35654,1.14347,0.0072775,0.0072775,0.0072775
57,3923.26,0.64001,0.3263,1.09989,0.87191,0.74946,0.77933,0.65194,0.74425,0.35969,1.11023,0.007228,0.007228,0.007228
58,3994.4,0.6292,0.32651,1.09003,0.89375,0.74946,0.80369,0.67969,0.68148,0.33291,1.10156,0.0071785,0.0071785,0.0071785
59,4065.43,0.62509,0.31928,1.09162,0.89146,0.74775,0.76662,0.6437,0.73568,0.34307,1.11733,0.007129,0.007129,0.007129
60,4136.42,0.62815,0.3162,1.09611,0.86329,0.75463,0.78721,0.63638,0.78916,0.34616,1.14569,0.0070795,0.0070795,0.0070795
61,4207.35,0.63045,0.31813,1.09053,0.88027,0.75198,0.75964,0.62555,0.7538,0.3543,1.12428,0.00703,0.00703,0.00703
62,4278.4,0.62164,0.31205,1.08141,0.85924,0.75008,0.75447,0.64271,0.70391,0.32889,1.09786,0.0069805,0.0069805,0.0069805
63,4349.26,0.61279,0.31005,1.08032,0.88146,0.77168,0.79099,0.64173,0.73944,0.33961,1.12124,0.006931,0.006931,0.006931
64,4420.18,0.61718,0.30846,1.08253,0.87385,0.79675,0.81255,0.67783,0.65736,0.32236,1.08139,0.0068815,0.0068815,0.0068815
65,4491.04,0.61263,0.30676,1.08873,0.94323,0.70451,0.79977,0.66902,0.67491,0.32131,1.0859,0.006832,0.006832,0.006832
66,4561.73,0.60817,0.30333,1.0813,0.85053,0.80584,0.7999,0.65543,0.74654,0.33137,1.1388,0.0067825,0.0067825,0.0067825
67,4632.65,0.61004,0.30339,1.07311,0.77717,0.77534,0.77412,0.6534,0.721,0.32598,1.09554,0.006733,0.006733,0.006733
68,4703.59,0.60101,0.29895,1.07124,0.82306,0.83169,0.79159,0.65103,0.74323,0.33815,1.13888,0.0066835,0.0066835,0.0066835
69,4774.6,0.59679,0.30128,1.06866,0.89576,0.78791,0.80759,0.665,0.72714,0.33221,1.10741,0.006634,0.006634,0.006634
70,4845.44,0.59618,0.30717,1.0807,0.7859,0.74949,0.76615,0.64578,0.70735,0.33131,1.10427,0.0065845,0.0065845,0.0065845
71,4916.35,0.59119,0.29791,1.06773,0.83384,0.77331,0.79181,0.65184,0.69215,0.32211,1.0959,0.006535,0.006535,0.006535
72,4987.43,0.58376,0.29395,1.06297,0.77017,0.77055,0.7549,0.65034,0.69756,0.3188,1.10303,0.0064855,0.0064855,0.0064855
73,5058.41,0.59162,0.29722,1.06748,0.71079,0.75024,0.74852,0.65376,0.66049,0.309,1.08054,0.006436,0.006436,0.006436
74,5129.35,0.58567,0.29142,1.06474,0.89583,0.74471,0.73989,0.6443,0.69058,0.31936,1.09986,0.0063865,0.0063865,0.0063865
75,5200.26,0.59182,0.29473,1.06494,0.78394,0.79389,0.78979,0.66044,0.70734,0.31531,1.09081,0.006337,0.006337,0.006337
76,5270.77,0.57695,0.29115,1.05116,0.86889,0.72648,0.77653,0.66856,0.66517,0.31564,1.07052,0.0062875,0.0062875,0.0062875
77,5341.64,0.57563,0.28399,1.05123,0.9796,0.73797,0.7964,0.67494,0.67068,0.30838,1.07609,0.006238,0.006238,0.006238
78,5412.4,0.58215,0.29409,1.06098,0.84897,0.78913,0.79695,0.67657,0.71235,0.31238,1.12883,0.0061885,0.0061885,0.0061885
